,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
24,Asian handicap +2.5 ,1.96,2.04,Over/Under +156.5 ,1.92,2.03,Anadolu Efes,Panathinaikos,"Thursday, 07 Apr  2016, 20:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/anadolu-efes-panathinaikos-bwgZ2m0B/
25,Asian handicap +8.5 ,1.95,2.02,Over/Under +153.5 ,2.07,1.96,Zalgiris Kaunas,Barcelona,"Thursday, 07 Apr  2016, 19:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/zalgiris-kaunas-barcelona-4vMeKlVo/
26,Asian handicap -16.5 ,1.95,2.03,Over/Under +154.5 ,2.01,1.97,Panathinaikos,Cedevita,"Friday, 01 Apr  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/panathinaikos-cedevita-46Mc3dff/
27,Asian handicap +3.5 ,1.91,2.05,Over/Under +167.5 ,2.1,1.95,Baskonia,Real Madrid,"Friday, 01 Apr  2016, 21:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/saski-baskonia-real-madrid-WCrF7Bot/
28,Asian handicap -2.5 ,2.02,2.0,Over/Under +157.5 ,1.91,2.04,Fenerbahce,Anadolu Efes,"Friday, 01 Apr  2016, 20:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/fenerbahce-anadolu-efes-IVy30fvD/
29,Asian handicap -20.5 ,1.94,2.12,Over/Under +168.5 ,2.16,1.91,CSKA Moscow,Zalgiris Kaunas,"Friday, 01 Apr  2016, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/cska-moscow-zalgiris-kaunas-A3sJ6V0n/
30,Asian handicap -9.5 ,1.95,2.06,Over/Under +150.5 ,1.95,2.02,Barcelona,Bamberg,"Thursday, 31 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/barcelona-brose-bamberg-WYu7aEgJ/
31,Asian handicap -8.5 ,2.02,1.95,Over/Under +150.5 ,1.95,2.03,Crvena zvezda mts,Darussafaka,"Thursday, 31 Mar  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/crvena-zvezda-mts-darussafaka-pIwe2G90/
32,Asian handicap -1 ,1.95,2.02,Over/Under +153.5 ,2.08,1.95,Khimki M.,Olympiakos,"Thursday, 31 Mar  2016, 20:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/khimki-m-olympiakos-piraeus-vwnN5kGh/
33,Asian handicap -13.5 ,2.08,1.91,Over/Under +148.5 ,1.97,2.0,Lokomotiv Kuban,Unicaja,"Thursday, 31 Mar  2016, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/lokomotiv-kuban-unicaja-O8xa1zP6/
34,Asian handicap -9.5 ,1.97,2.04,Over/Under +154.5 ,1.94,2.01,Anadolu Efes,Unicaja,"Friday, 25 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/anadolu-efes-unicaja-p2kXnyAD/
35,Asian handicap -3.5 ,2.06,1.95,Over/Under +156.5 ,2.05,1.92,Olympiakos,Real Madrid,"Friday, 25 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/olympiakos-piraeus-real-madrid-WhOk5IPs/
36,Asian handicap +8.5 ,1.95,1.97,Over/Under +158.5 ,1.94,1.99,Cedevita,Fenerbahce,"Friday, 25 Mar  2016, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/cedevita-fenerbahce-On1Olcu1/
37,Asian handicap +7 ,1.93,2.06,Over/Under +163 ,2.08,1.93,Zalgiris Kaunas,Khimki M.,"Friday, 25 Mar  2016, 19:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/zalgiris-kaunas-khimki-m-QFNg4xul/
38,Asian handicap +6.5 ,1.92,2.07,Over/Under +168 ,2.07,1.93,Bamberg,CSKA Moscow,"Thursday, 24 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/brose-bamberg-cska-moscow-C8sJAv2K/
39,Asian handicap +3.5 ,1.92,2.06,Over/Under +147.5 ,1.98,1.95,Darussafaka,Panathinaikos,"Thursday, 24 Mar  2016, 20:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/darussafaka-panathinaikos-6BjTmHf7/
40,Asian handicap -10.5 ,1.98,1.99,Over/Under +148 ,2.02,1.94,Lokomotiv Kuban,Crvena zvezda mts,"Thursday, 24 Mar  2016, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/lokomotiv-kuban-crvena-zvezda-mts-YHrFBKnE/
41,Asian handicap +1 ,2.0,2.03,Over/Under +156 ,1.95,1.96,Baskonia,Barcelona,"Wednesday, 23 Mar  2016, 21:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/saski-baskonia-barcelona-fXWN9bHQ/
42,Asian handicap -16.5 ,1.95,2.17,Over/Under +149.5 ,1.96,1.98,Olympiakos,Zalgiris Kaunas,"Friday, 18 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/olympiakos-piraeus-zalgiris-kaunas-CCcKkwQf/
43,Asian handicap -3.5 ,2.08,1.91,Over/Under +152 ,1.97,1.98,Unicaja,Crvena zvezda mts,"Friday, 18 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/unicaja-crvena-zvezda-mts-ClFXbs38/
44,Asian handicap -14.5 ,2.03,1.98,Over/Under +159.5 ,1.98,1.97,Anadolu Efes,Cedevita,"Friday, 18 Mar  2016, 20:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/anadolu-efes-cedevita-AqykzbQ7/
45,Asian handicap +1.5 ,2.0,2.05,Over/Under +159.5 ,2.02,1.95,Bamberg,Khimki M.,"Thursday, 17 Mar  2016, 23:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/brose-bamberg-khimki-m-vaaCiaer/
46,Asian handicap -2.5 ,1.94,2.06,Over/Under +168.5 ,2.08,1.93,Barcelona,Real Madrid,"Thursday, 17 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/barcelona-real-madrid-IkbGjJAl/
47,Asian handicap -4.5 ,2.03,1.96,Over/Under +145.5 ,1.94,2.03,Panathinaikos,Lokomotiv Kuban,"Thursday, 17 Mar  2016, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/panathinaikos-lokomotiv-kuban-QiJyb1IE/
48,Asian handicap -11 ,1.96,2.05,Over/Under +150.5 ,2.05,1.98,Fenerbahce,Darussafaka,"Thursday, 17 Mar  2016, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/fenerbahce-darussafaka-KEIucLXK/
49,Asian handicap -13.5 ,1.93,2.05,Over/Under +176.5 ,1.94,1.97,CSKA Moscow,Baskonia,"Thursday, 17 Mar  2016, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/cska-moscow-saski-baskonia-b5HqdumR/
50,Asian handicap +2.5 ,1.9,2.21,Over/Under +167.5 ,2.09,1.94,Barcelona,CSKA Moscow,"Friday, 11 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/barcelona-cska-moscow-bROww0tk/
51,Asian handicap -1.5 ,1.93,2.03,Over/Under +147.5 ,1.98,1.97,Crvena zvezda mts,Panathinaikos,"Friday, 11 Mar  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/crvena-zvezda-mts-panathinaikos-pKr3q23L/
52,Asian handicap +1.5 ,2.08,1.99,Over/Under +153.5 ,1.98,1.95,Darussafaka,Anadolu Efes,"Friday, 11 Mar  2016, 20:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/darussafaka-anadolu-efes-6TqaprlF/
53,Asian handicap +9.5 ,1.92,2.1,Over/Under +166.5 ,2.09,1.93,Zalgiris Kaunas,Real Madrid,"Friday, 11 Mar  2016, 19:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/zalgiris-kaunas-real-madrid-WhxoyvB1/
