,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,Asian handicap +3.5 ,1.98,2.0,Over/Under +210 ,1.99,1.96,Charlotte Hornets,Cleveland Cavaliers,"Saturday, 25 Mar  2017, 01:00",https://www.oddsportal.com/basketball/usa/nba-2016-2017/charlotte-hornets-cleveland-cavaliers-6LBbIiof/
1,Asian handicap +2 ,2.02,1.98,Over/Under +223.5 ,2.01,1.97,Denver Nuggets,Washington Wizards,"Thursday, 09 Mar  2017, 04:00",https://www.oddsportal.com/basketball/usa/nba-2016-2017/denver-nuggets-washington-wizards-xU1bhk9s/
2,Asian handicap -6 ,1.98,2.0,Over/Under +195.5 ,2.02,1.98,Atlanta Hawks,Dallas Mavericks,"Thursday, 02 Mar  2017, 02:30",https://www.oddsportal.com/basketball/usa/nba-2016-2017/atlanta-hawks-dallas-mavericks-EFMKuc7o/
3,Asian handicap +1.5 ,2.03,1.99,Over/Under +201.5 ,2.0,1.93,Dallas Mavericks,Miami Heat,"Tuesday, 28 Feb  2017, 03:30",https://www.oddsportal.com/basketball/usa/nba-2016-2017/dallas-mavericks-miami-heat-8tvvXSOD/
4,Asian handicap +8.5 ,1.99,1.98,Over/Under +217.5 ,2.0,1.97,Philadelphia 76ers,Washington Wizards,"Saturday, 25 Feb  2017, 02:00",https://www.oddsportal.com/basketball/usa/nba-2016-2017/philadelphia-76ers-washington-wizards-4ntlMjgb/
5,Asian handicap -6.5 ,1.98,2.04,Over/Under +209 ,1.99,1.98,Atlanta Hawks,New York Knicks,"Sunday, 29 Jan  2017, 22:00",https://www.oddsportal.com/basketball/usa/nba-2016-2017/atlanta-hawks-new-york-knicks-rNGW6uxJ/
6,Asian handicap -11 ,1.98,2.02,Over/Under +220.5 ,2.02,1.92,Minnesota Timberwolves,Brooklyn Nets,"Sunday, 29 Jan  2017, 04:00",https://www.oddsportal.com/basketball/usa/nba-2016-2017/minnesota-timberwolves-brooklyn-nets-UJCS7LMC/
7,Asian handicap -3.5 ,1.98,1.99,Over/Under +227.5 ,2.0,1.96,Phoenix Suns,Denver Nuggets,"Sunday, 29 Jan  2017, 04:00",https://www.oddsportal.com/basketball/usa/nba-2016-2017/phoenix-suns-denver-nuggets-84OJ9sh0/
8,Asian handicap -7.5 ,1.98,2.01,Over/Under +189.5 ,2.11,1.91,Utah Jazz,Memphis Grizzlies,"Sunday, 29 Jan  2017, 04:00",https://www.oddsportal.com/basketball/usa/nba-2016-2017/utah-jazz-memphis-grizzlies-neNN8176/
9,Asian handicap -13 ,2.0,2.02,Over/Under +224.5 ,1.94,2.05,Golden State Warriors,Los Angeles Clippers,"Sunday, 29 Jan  2017, 03:30",https://www.oddsportal.com/basketball/usa/nba-2016-2017/golden-state-warriors-los-angeles-clippers-ET9GANxf/
10,Asian handicap -2.5 ,1.99,1.98,Over/Under +217 ,2.02,1.95,Milwaukee Bucks,Boston Celtics,"Sunday, 29 Jan  2017, 03:00",https://www.oddsportal.com/basketball/usa/nba-2016-2017/milwaukee-bucks-boston-celtics-zwBCB3Nm/
