,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,Asian handicap -10.5 ,1.95,2.12,Over/Under +157.5 ,2.02,2.06,Real Madrid,Maccabi Tel Aviv,"Sunday, 18 May  2014, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/real-madrid-maccabi-tel-aviv-j1DNFhkK/
1,Asian handicap -2.5 ,1.98,2.02,Over/Under +151.5 ,2.05,1.95,Barcelona,CSKA Moscow,"Sunday, 18 May  2014, 18:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/barcelona-cska-moscow-pOCREC4Q/
2,Asian handicap +2.5 ,1.95,2.2,Over/Under +155.5 ,2.1,1.97,Barcelona,Real Madrid,"Friday, 16 May  2014, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/barcelona-real-madrid-z59jGQC9/
3,Asian handicap -6.5 ,1.95,2.08,Over/Under +147.5 ,2.06,1.95,CSKA Moscow,Maccabi Tel Aviv,"Friday, 16 May  2014, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/cska-moscow-maccabi-tel-aviv-Ee8fFpSF/
4,Asian handicap -8.5 ,2.03,1.95,Over/Under +153.5 ,2.01,1.91,Real Madrid,Olympiakos,"Friday, 25 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/real-madrid-olympiakos-piraeus-MFpjgdTq/
5,Asian handicap -7.5 ,2.02,1.95,Over/Under +137.5 ,1.96,1.99,CSKA Moscow,Panathinaikos,"Friday, 25 Apr  2014, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/cska-moscow-panathinaikos-zwZ1pSpC/
6,Asian handicap +2.5 ,1.9,2.11,Over/Under +154.5 ,1.92,2.07,Olympiakos,Real Madrid,"Wednesday, 23 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/olympiakos-piraeus-real-madrid-CEIZklYe/
7,Asian handicap -5.5 ,1.9,2.15,Over/Under +153.5 ,2.0,1.97,Maccabi Tel Aviv,Olimpia Milano,"Wednesday, 23 Apr  2014, 20:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/maccabi-tel-aviv-milan-xOUZvD1R/
8,Asian handicap -1 ,1.92,2.24,Over/Under +137.5 ,2.12,1.99,Panathinaikos,CSKA Moscow,"Wednesday, 23 Apr  2014, 19:30",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/panathinaikos-cska-moscow-pSxD372e/
9,Asian handicap -1.5 ,2.06,2.04,Over/Under +138.5 ,1.98,1.96,Panathinaikos,CSKA Moscow,"Monday, 21 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/panathinaikos-cska-moscow-IsntnkhJ/
10,Asian handicap -4.5 ,1.92,2.08,Over/Under +155.5 ,2.28,1.9,Maccabi Tel Aviv,Olimpia Milano,"Monday, 21 Apr  2014, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/maccabi-tel-aviv-milan-KnQOAYUJ/
11,Asian handicap +1.5 ,2.09,2.04,Over/Under +154 ,2.04,2.04,Olympiakos,Real Madrid,"Monday, 21 Apr  2014, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/olympiakos-piraeus-real-madrid-4vrxmVxD/
