,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,Asian handicap +3.5 ,2.02,2.01,Over/Under +201.5 ,1.97,2.0,Milwaukee Bucks,Charlotte Hornets,"Sunday, 27 Mar  2016, 02:30",https://www.oddsportal.com/basketball/usa/nba-2015-2016/milwaukee-bucks-charlotte-hornets-n7RVIPtg/
1,Asian handicap -6 ,2.01,2.0,Over/Under +192.5 ,1.96,1.98,Atlanta Hawks,Miami Heat,"Tuesday, 15 Dec  2015, 03:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/atlanta-hawks-miami-heat-jZtuyubh/
2,Asian handicap -3.5 ,1.99,2.06,Over/Under +203.5 ,1.95,2.04,Toronto Raptors,Phoenix Suns,"Monday, 30 Nov  2015, 01:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/toronto-raptors-phoenix-suns-C0R1mO55/
3,Asian handicap -10.5 ,2.06,1.91,Over/Under +198 ,2.01,1.98,Charlotte Hornets,Philadelphia 76ers,"Saturday, 21 Nov  2015, 02:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/charlotte-hornets-philadelphia-76ers-6incCRpB/
4,Asian handicap +5.5 ,1.98,2.0,Over/Under +213.5 ,2.05,1.95,Los Angeles Clippers,Golden State Warriors,"Friday, 20 Nov  2015, 05:30",https://www.oddsportal.com/basketball/usa/nba-2015-2016/los-angeles-clippers-golden-state-warriors-S0mgD7V4/
5,Asian handicap -10.5 ,1.94,2.09,Over/Under +194.5 ,1.93,2.15,Cleveland Cavaliers,Milwaukee Bucks,"Friday, 20 Nov  2015, 03:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/cleveland-cavaliers-milwaukee-bucks-APhlEmGb/
6,Asian handicap -10 ,1.95,2.09,Over/Under +203.5 ,1.96,2.04,Miami Heat,Sacramento Kings,"Friday, 20 Nov  2015, 02:30",https://www.oddsportal.com/basketball/usa/nba-2015-2016/miami-heat-sacramento-kings-WYgpFT0h/
7,Asian handicap -3 ,1.98,2.06,Over/Under +202.5 ,2.02,1.93,Phoenix Suns,Chicago Bulls,"Thursday, 19 Nov  2015, 05:30",https://www.oddsportal.com/basketball/usa/nba-2015-2016/phoenix-suns-chicago-bulls-xCftG9on/
8,Asian handicap -4.5 ,1.93,2.0,Over/Under +190.5 ,2.13,1.88,Utah Jazz,Toronto Raptors,"Thursday, 19 Nov  2015, 04:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/utah-jazz-toronto-raptors-A37QiFLH/
9,Asian handicap -13.5 ,1.99,1.98,Over/Under +197.5 ,2.03,1.92,San Antonio Spurs,Denver Nuggets,"Thursday, 19 Nov  2015, 03:30",https://www.oddsportal.com/basketball/usa/nba-2015-2016/san-antonio-spurs-denver-nuggets-vRywHkWu/
10,Asian handicap -2.5 ,1.98,1.96,Over/Under +209 ,1.95,1.96,Atlanta Hawks,Sacramento Kings,"Thursday, 19 Nov  2015, 03:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/atlanta-hawks-sacramento-kings-E3AWe60U/
11,Asian handicap -7 ,1.96,1.97,Over/Under +210.5 ,2.01,2.0,Houston Rockets,Portland Trail Blazers,"Thursday, 19 Nov  2015, 03:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/houston-rockets-portland-trail-blazers-zDBSdnoO/
12,Asian handicap -12 ,2.08,1.95,Over/Under +212 ,2.05,1.97,Oklahoma City Thunder,New Orleans Pelicans,"Thursday, 19 Nov  2015, 03:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/oklahoma-city-thunder-new-orleans-pelicans-6w7OcSVH/
13,Asian handicap -5 ,1.95,2.0,Over/Under +207.5 ,1.96,1.96,Boston Celtics,Dallas Mavericks,"Thursday, 19 Nov  2015, 02:30",https://www.oddsportal.com/basketball/usa/nba-2015-2016/boston-celtics-dallas-mavericks-Sn8Kb8GB/
14,Asian handicap -6.5 ,1.95,2.02,Over/Under +193.5 ,2.02,1.95,Charlotte Hornets,Brooklyn Nets,"Thursday, 19 Nov  2015, 02:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/charlotte-hornets-brooklyn-nets-pOIFal15/
15,Asian handicap -5 ,1.96,1.97,Over/Under +203.5 ,2.06,1.95,Orlando Magic,Minnesota Timberwolves,"Thursday, 19 Nov  2015, 02:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/orlando-magic-minnesota-timberwolves-WKEB0Uoa/
16,Asian handicap +6.5 ,2.04,1.99,Over/Under +191.5 ,1.96,2.02,Philadelphia 76ers,Indiana Pacers,"Thursday, 19 Nov  2015, 02:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/philadelphia-76ers-indiana-pacers-xbF71AWh/
17,Asian handicap -9.5 ,1.96,1.98,Over/Under +208.5 ,2.0,2.0,Golden State Warriors,Toronto Raptors,"Wednesday, 18 Nov  2015, 05:30",https://www.oddsportal.com/basketball/usa/nba-2015-2016/golden-state-warriors-toronto-raptors-d03Mhe6B/
18,Asian handicap -6 ,1.92,2.05,Over/Under +206 ,2.02,1.96,New Orleans Pelicans,Denver Nuggets,"Wednesday, 18 Nov  2015, 03:00",https://www.oddsportal.com/basketball/usa/nba-2015-2016/new-orleans-pelicans-denver-nuggets-b7G32jHn/
19,Asian handicap +4.5 ,2.03,1.98,Over/Under +197.5 ,2.03,1.96,Brooklyn Nets,Atlanta Hawks,"Wednesday, 18 Nov  2015, 02:30",https://www.oddsportal.com/basketball/usa/nba-2015-2016/brooklyn-nets-atlanta-hawks-Iea63W1t/
20,Asian handicap +4.5 ,1.97,2.0,Over/Under +195 ,2.05,1.96,Detroit Pistons,Cleveland Cavaliers,"Wednesday, 18 Nov  2015, 02:30",https://www.oddsportal.com/basketball/usa/nba-2015-2016/detroit-pistons-cleveland-cavaliers-tWywLbXD/
21,Asian handicap -8.5 ,1.96,2.0,Over/Under +198.5 ,2.05,1.96,Miami Heat,Minnesota Timberwolves,"Wednesday, 18 Nov  2015, 02:30",https://www.oddsportal.com/basketball/usa/nba-2015-2016/miami-heat-minnesota-timberwolves-SSmedFfD/
