,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
1265,Asian handicap -9.5 ,2.02,1.95,Over/Under +192.5 ,2.0,1.92,New Orleans Pelicans,Phoenix Suns,"Wednesday, 06 Nov  2013, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/new-orleans-pelicans-phoenix-suns-0tnTc1LI/
1266,Asian handicap -9.5 ,2.08,1.93,Over/Under +191.5 ,1.93,1.99,Brooklyn Nets,Utah Jazz,"Wednesday, 06 Nov  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/brooklyn-nets-utah-jazz-nHWN03y0/
1267,Asian handicap -1 ,1.97,2.0,Over/Under +186.5 ,1.92,2.07,Detroit Pistons,Indiana Pacers,"Wednesday, 06 Nov  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/detroit-pistons-indiana-pacers-tvWRaNj6/
1268,Asian handicap -9.5 ,1.98,2.0,Over/Under +185.5 ,2.02,1.97,New York Knicks,Charlotte Hornets,"Wednesday, 06 Nov  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/new-york-knicks-charlotte-hornets-KUUVbs6C/
1269,Asian handicap +5 ,1.93,2.08,Over/Under +195 ,2.0,1.95,Toronto Raptors,Miami Heat,"Wednesday, 06 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/toronto-raptors-miami-heat-O4MI2ZaH/
1270,Asian handicap -5 ,2.0,1.95,Over/Under +210.5 ,2.01,1.91,Los Angeles Clippers,Houston Rockets,"Tuesday, 05 Nov  2013, 05:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-clippers-houston-rockets-YDSJ1qMg/
1271,Asian handicap -12 ,2.0,1.99,Over/Under +185.5 ,1.95,2.02,Memphis Grizzlies,Boston Celtics,"Tuesday, 05 Nov  2013, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/memphis-grizzlies-boston-celtics-jkwF2P6m/
1272,Asian handicap -1.5 ,2.02,1.97,Over/Under +198 ,1.98,1.98,Cleveland Cavaliers,Minnesota Timberwolves,"Tuesday, 05 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/cleveland-cavaliers-minnesota-timberwolves-CbvB35is/
1273,Asian handicap +7 ,2.0,1.96,Over/Under +211.5 ,1.95,2.02,Philadelphia 76ers,Golden State Warriors,"Tuesday, 05 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/philadelphia-76ers-golden-state-warriors-K6nq8oqQ/
1274,Asian handicap -1 ,2.0,1.98,Over/Under +205.5 ,2.0,1.95,Los Angeles Lakers,Atlanta Hawks,"Monday, 04 Nov  2013, 04:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-lakers-atlanta-hawks-tGmu9RTJ/
