,League,Season,Home_score,Away_score,Win,OT,Home_p,Away_p,URL
4767,NBA,2014/2015,98.0,85.0,1.0,0.0,1.11,10.0,https://www.oddsportal.com/basketball/usa/nba-2014-2015/san-antonio-spurs-miami-heat-2u5b4OBB/
4768,NBA,2014/2015,100.0,93.0,1.0,0.0,1.52,3.0,https://www.oddsportal.com/basketball/usa/nba-2014-2015/phoenix-suns-utah-jazz-8I5f54d5/
4769,NBA,2014/2015,117.0,111.0,1.0,0.0,1.51,2.98,https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-milwaukee-bucks-UR6j6psa/
4770,NBA,2014/2015,90.0,89.0,1.0,0.0,4.8,1.27,https://www.oddsportal.com/basketball/usa/nba-2014-2015/minnesota-timberwolves-memphis-grizzlies-CjCo7QRh/
4771,NBA,2014/2015,113.0,116.0,0.0,0.0,1.42,3.4,https://www.oddsportal.com/basketball/usa/nba-2014-2015/oklahoma-city-thunder-new-orleans-pelicans-YaDs86Cn/
4772,NBA,2014/2015,124.0,116.0,1.0,0.0,2.22,1.8,https://www.oddsportal.com/basketball/usa/nba-2014-2015/atlanta-hawks-golden-state-warriors-vwEw9nct/
4773,NBA,2014/2015,107.0,96.0,1.0,0.0,1.28,4.4,https://www.oddsportal.com/basketball/usa/nba-2014-2015/boston-celtics-philadelphia-76ers-UToAQESD/
4774,NBA,2014/2015,98.0,88.0,1.0,0.0,1.41,3.55,https://www.oddsportal.com/basketball/usa/nba-2014-2015/detroit-pistons-denver-nuggets-SO7R1VkD/
4775,NBA,2014/2015,92.0,88.0,1.0,0.0,1.4,3.45,https://www.oddsportal.com/basketball/usa/nba-2014-2015/brooklyn-nets-new-york-knicks-lY8N2Bz7/
4776,NBA,2014/2015,103.0,99.0,1.0,0.0,3.3,1.42,https://www.oddsportal.com/basketball/usa/nba-2014-2015/indiana-pacers-cleveland-cavaliers-Kb4J3iL0/
4777,NBA,2014/2015,103.0,97.0,1.0,1.0,1.55,2.75,https://www.oddsportal.com/basketball/usa/nba-2014-2015/orlando-magic-los-angeles-lakers-t85F4X5f/
4778,NBA,2014/2015,123.0,107.0,1.0,0.0,2.02,1.93,https://www.oddsportal.com/basketball/usa/nba-2014-2015/toronto-raptors-los-angeles-clippers-jRCcJLdK/
4779,NBA,2014/2015,108.0,87.0,1.0,0.0,1.52,2.85,https://www.oddsportal.com/basketball/usa/nba-2014-2015/portland-trail-blazers-phoenix-suns-bqGA5Djl/
4780,NBA,2014/2015,78.0,101.0,0.0,0.0,2.46,1.69,https://www.oddsportal.com/basketball/usa/nba-2014-2015/sacramento-kings-dallas-mavericks-ptC66gyr/
4781,NBA,2014/2015,105.0,94.0,1.0,0.0,1.57,2.72,https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-los-angeles-clippers-S0PvBZSQ/
4782,NBA,2014/2015,94.0,87.0,1.0,0.0,2.15,1.83,https://www.oddsportal.com/basketball/usa/nba-2014-2015/charlotte-hornets-washington-wizards-lAQzCFDK/
4783,NBA,2014/2015,128.0,114.0,1.0,0.0,1.29,4.25,https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-dallas-mavericks-MmfvDebE/
4784,NBA,2014/2015,90.0,100.0,0.0,0.0,3.4,1.4,https://www.oddsportal.com/basketball/usa/nba-2014-2015/utah-jazz-memphis-grizzlies-rcezEyq8/
4785,NBA,2014/2015,110.0,103.0,1.0,0.0,1.09,11.75,https://www.oddsportal.com/basketball/usa/nba-2014-2015/san-antonio-spurs-orlando-magic-Ug7hkh67/
4786,NBA,2014/2015,101.0,90.0,1.0,0.0,1.73,2.35,https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-chicago-bulls-Gj3ljYj1/
4787,NBA,2014/2015,113.0,105.0,1.0,1.0,1.23,5.0,https://www.oddsportal.com/basketball/usa/nba-2014-2015/milwaukee-bucks-los-angeles-lakers-YRDqiEye/
4788,NBA,2014/2015,102.0,101.0,1.0,0.0,1.87,2.15,https://www.oddsportal.com/basketball/usa/nba-2014-2015/minnesota-timberwolves-miami-heat-fyFuhfMl/
4789,NBA,2014/2015,91.0,102.0,0.0,0.0,1.63,2.55,https://www.oddsportal.com/basketball/usa/nba-2014-2015/new-orleans-pelicans-oklahoma-city-thunder-Q1Aygz7r/
4790,NBA,2014/2015,105.0,96.0,1.0,0.0,1.44,3.2,https://www.oddsportal.com/basketball/usa/nba-2014-2015/atlanta-hawks-washington-wizards-OhO9cGbR/
4791,NBA,2014/2015,104.0,100.0,1.0,0.0,1.67,2.5,https://www.oddsportal.com/basketball/usa/nba-2014-2015/boston-celtics-denver-nuggets-tUY4bdqL/
4792,NBA,2014/2015,93.0,109.0,0.0,0.0,1.32,3.92,https://www.oddsportal.com/basketball/usa/nba-2014-2015/toronto-raptors-brooklyn-nets-xO8gK1sE/
4793,NBA,2014/2015,114.0,109.0,1.0,0.0,1.58,2.65,https://www.oddsportal.com/basketball/usa/nba-2014-2015/indiana-pacers-detroit-pistons-UgV0axUE/
4794,NBA,2014/2015,103.0,102.0,1.0,0.0,1.4,4.65,https://www.oddsportal.com/basketball/usa/nba-2014-2015/portland-trail-blazers-utah-jazz-zXVd0IE8/
