,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,0.5,1.95,2.12,157.0,2.02,2.06,Real Madrid,Maccabi Tel Aviv,"Sunday, 18 May  2014, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/real-madrid-maccabi-tel-aviv-j1DNFhkK/
1,2.5,1.98,2.02,151.0,2.05,1.95,Barcelona,CSKA Moscow,"Sunday, 18 May  2014, 18:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/barcelona-cska-moscow-pOCREC4Q/
2,2.5,1.95,2.2,155.0,2.1,1.97,Barcelona,Real Madrid,"Friday, 16 May  2014, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/barcelona-real-madrid-z59jGQC9/
3,6.5,1.95,2.08,147.0,2.06,1.95,CSKA Moscow,Maccabi Tel Aviv,"Friday, 16 May  2014, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/cska-moscow-maccabi-tel-aviv-Ee8fFpSF/
4,8.5,2.03,1.95,153.0,2.01,1.91,Real Madrid,Olympiakos,"Friday, 25 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/real-madrid-olympiakos-piraeus-MFpjgdTq/
5,7.5,2.02,1.95,137.0,1.96,1.99,CSKA Moscow,Panathinaikos,"Friday, 25 Apr  2014, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/cska-moscow-panathinaikos-zwZ1pSpC/
6,2.5,1.9,2.11,154.0,1.92,2.07,Olympiakos,Real Madrid,"Wednesday, 23 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/olympiakos-piraeus-real-madrid-CEIZklYe/
7,5.5,1.9,2.15,153.0,2.0,1.97,Maccabi Tel Aviv,Olimpia Milano,"Wednesday, 23 Apr  2014, 20:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/maccabi-tel-aviv-milan-xOUZvD1R/
8,-1.0,1.92,2.24,137.0,2.12,1.99,Panathinaikos,CSKA Moscow,"Wednesday, 23 Apr  2014, 19:30",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/panathinaikos-cska-moscow-pSxD372e/
9,1.5,2.06,2.04,138.0,1.98,1.96,Panathinaikos,CSKA Moscow,"Monday, 21 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/panathinaikos-cska-moscow-IsntnkhJ/
10,4.5,1.92,2.08,155.0,2.28,1.9,Maccabi Tel Aviv,Olimpia Milano,"Monday, 21 Apr  2014, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/maccabi-tel-aviv-milan-KnQOAYUJ/
11,1.5,2.09,2.04,15.0,2.04,2.04,Olympiakos,Real Madrid,"Monday, 21 Apr  2014, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/olympiakos-piraeus-real-madrid-4vrxmVxD/
12,7.5,2.13,1.96,143.0,2.25,1.9,Galatasaray,Barcelona,"Sunday, 20 Apr  2014, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/galatasaray-barcelona-AHrYmBN6/
13,5.5,2.19,1.9,156.0,2.1,1.94,Olimpia Milano,Maccabi Tel Aviv,"Friday, 18 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/milan-maccabi-tel-aviv-WQqUli80/
14,6.5,1.98,1.98,14.0,2.12,2.0,CSKA Moscow,Panathinaikos,"Friday, 18 Apr  2014, 19:15",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/cska-moscow-panathinaikos-jFSWkXhf/
15,6.5,1.98,2.07,143.0,2.05,1.9,Barcelona,Galatasaray,"Thursday, 17 Apr  2014, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/barcelona-galatasaray-I1UOigOs/
16,0.5,1.97,2.08,15.0,2.02,2.01,Real Madrid,Olympiakos,"Thursday, 17 Apr  2014, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/real-madrid-olympiakos-piraeus-COTSjDwl/
17,4.5,1.98,1.98,152.0,2.02,1.96,Olimpia Milano,Maccabi Tel Aviv,"Wednesday, 16 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/milan-maccabi-tel-aviv-ttwcdZFQ/
18,8.5,2.06,2.03,141.0,2.1,1.97,CSKA Moscow,Panathinaikos,"Wednesday, 16 Apr  2014, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/cska-moscow-panathinaikos-bHmhcF0K/
19,8.5,2.0,2.07,153.0,2.04,2.01,Real Madrid,Olympiakos,"Tuesday, 15 Apr  2014, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/real-madrid-olympiakos-piraeus-KQllbeoE/
20,2.5,2.06,2.02,144.0,2.0,1.96,Barcelona,Galatasaray,"Tuesday, 15 Apr  2014, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/barcelona-galatasaray-WAe6ZB8D/
21,4.5,1.96,1.97,15.0,2.1,1.94,Unicaja,Olimpia Milano,"Friday, 11 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/unicaja-milan-O6g1mjJ8/
22,1.5,2.0,2.02,14.0,1.99,2.03,Galatasaray,Partizan,"Friday, 11 Apr  2014, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/galatasaray-partizan-bF8kWiqA/
23,4.5,2.0,2.06,,,,Zalgiris Kaunas,Real Madrid,"Friday, 11 Apr  2014, 19:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/zalgiris-kaunas-real-madrid-KUdbUVDM/
24,2.5,2.06,1.97,157.0,1.98,1.97,Barcelona,Baskonia,"Thursday, 10 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/barcelona-saski-baskonia-xW86pl3R/
25,6.5,1.99,2.04,140.0,2.08,2.03,Olympiakos,Panathinaikos,"Thursday, 10 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/olympiakos-piraeus-panathinaikos-4IAbnAYE/
26,1.5,1.95,2.04,152.0,2.0,1.95,Maccabi Tel Aviv,CSKA Moscow,"Thursday, 10 Apr  2014, 21:05",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/maccabi-tel-aviv-cska-moscow-Sfd2TkTS/
27,8.5,2.08,1.91,153.0,1.98,2.03,Fenerbahce,Anadolu Efes,"Thursday, 10 Apr  2014, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/fenerbahce-anadolu-efes-r992oUmL/
28,9.5,2.05,2.01,157.0,1.96,1.96,Lokomotiv Kuban,Bayern,"Thursday, 10 Apr  2014, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/lokomotiv-kuban-bayern-tvbfVBbG/
29,7.5,1.98,1.96,15.0,1.95,1.99,Partizan,Zalgiris Kaunas,"Friday, 04 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/partizan-zalgiris-kaunas-zsNfAAMj/
30,3.5,1.93,1.97,161.0,2.04,1.93,Real Madrid,Lokomotiv Kuban,"Friday, 04 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/real-madrid-lokomotiv-kuban-Cb6wZgai/
31,7.5,1.9,2.03,148.0,2.0,1.97,Anadolu Efes,Olympiakos,"Friday, 04 Apr  2014, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/anadolu-efes-olympiakos-piraeus-I92BQSBe/
32,2.5,1.95,2.05,146.0,2.08,2.01,CSKA Moscow,Galatasaray,"Friday, 04 Apr  2014, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/cska-moscow-galatasaray-pC4oXXT3/
33,3.0,1.99,1.92,152.0,2.04,1.95,Bayern,Maccabi Tel Aviv,"Thursday, 03 Apr  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/bayern-maccabi-tel-aviv-jk5sYDEc/
34,7.5,1.93,1.97,140.0,1.91,2.09,Panathinaikos,Unicaja,"Thursday, 03 Apr  2014, 21:30",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/panathinaikos-unicaja-WC6FPnR1/
35,5.5,1.97,1.95,158.0,2.08,1.91,Baskonia,Fenerbahce,"Thursday, 03 Apr  2014, 21:30",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/saski-baskonia-fenerbahce-zoD6R8dk/
36,4.0,1.91,2.08,153.0,1.97,1.93,Olimpia Milano,Barcelona,"Wednesday, 02 Apr  2014, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/milan-barcelona-pGfclW32/
37,7.5,2.01,1.93,141.0,2.04,1.99,Barcelona,Panathinaikos,"Friday, 28 Mar  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/barcelona-panathinaikos-rmYRYj4F/
38,7.5,1.95,1.99,152.0,1.99,2.05,Fenerbahce,Olimpia Milano,"Friday, 28 Mar  2014, 20:30",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/fenerbahce-milan-42MzXUYR/
39,0.5,1.94,2.01,147.0,1.96,2.0,Lokomotiv Kuban,Partizan,"Friday, 28 Mar  2014, 18:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/lokomotiv-kuban-partizan-pCrGHhUG/
40,3.0,1.94,2.02,147.0,1.9,2.07,Unicaja,Olympiakos,"Thursday, 27 Mar  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/unicaja-olympiakos-piraeus-QBNWXAJL/
41,5.5,1.99,1.96,155.0,2.06,1.97,Maccabi Tel Aviv,Real Madrid,"Thursday, 27 Mar  2014, 21:05",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/maccabi-tel-aviv-real-madrid-vByPFWbT/
42,-5.0,1.94,2.03,150.0,1.95,2.01,Anadolu Efes,Baskonia,"Thursday, 27 Mar  2014, 20:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/anadolu-efes-saski-baskonia-dfE2Slsq/
43,4.5,2.08,1.9,15.0,2.08,1.96,Zalgiris Kaunas,Galatasaray,"Thursday, 27 Mar  2014, 19:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/zalgiris-kaunas-galatasaray-djOjBj7p/
44,5.5,2.05,1.92,151.0,2.12,1.94,CSKA Moscow,Bayern,"Thursday, 27 Mar  2014, 17:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/cska-moscow-bayern-SzYKGCqN/
45,8.5,2.08,1.98,144.0,2.14,1.91,Olimpia Milano,Anadolu Efes,"Friday, 21 Mar  2014, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/milan-anadolu-efes-KE0ZS0Gd/
46,4.0,1.95,2.05,148.0,2.2,1.93,Unicaja,Barcelona,"Friday, 21 Mar  2014, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/unicaja-barcelona-WCUNZWl9/
47,1.5,2.02,1.96,152.0,1.98,1.98,Olympiakos,Baskonia,"Friday, 21 Mar  2014, 21:30",https://www.oddsportal.com/basketball/europe/euroleague-2013-2014/olympiakos-piraeus-saski-baskonia-xjVJzDZ2/
