,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
1367,Asian handicap -1.5 ,1.98,1.94,Over/Under +200 ,2.0,1.96,Philadelphia 76ers,Boston Celtics,"Friday, 17 Oct  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/philadelphia-76ers-boston-celtics-lvdTyYsH/
1368,Asian handicap +2.5 ,1.95,2.02,Over/Under +202 ,2.04,1.95,Boston Celtics,Toronto Raptors,"Thursday, 16 Oct  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/boston-celtics-toronto-raptors-YPjr8HuA/
1369,Asian handicap -5.5 ,1.98,1.97,Over/Under +196.5 ,1.95,1.97,Cleveland Cavaliers,Indiana Pacers,"Thursday, 16 Oct  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-indiana-pacers-AmcPxESA/
1370,Asian handicap -3 ,2.16,1.94,Over/Under +194 ,1.91,2.04,Charlotte Hornets,Detroit Pistons,"Wednesday, 15 Oct  2014, 18:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/charlotte-hornets-detroit-pistons-tEhLwfD4/
1371,Asian handicap -2.5 ,2.08,1.98,Over/Under +196.5 ,2.04,1.91,Brooklyn Nets,Sacramento Kings,"Wednesday, 15 Oct  2014, 14:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/brooklyn-nets-sacramento-kings-2NgHvzbb/
1372,Asian handicap -3.5 ,2.01,1.91,Over/Under +203 ,1.99,1.94,New Orleans Pelicans,Houston Rockets,"Wednesday, 15 Oct  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/new-orleans-pelicans-houston-rockets-Kb4CuGrh/
1373,Asian handicap -1 ,1.92,2.0,Over/Under +191.5 ,1.94,2.0,Oklahoma City Thunder,Memphis Grizzlies,"Wednesday, 15 Oct  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/oklahoma-city-thunder-memphis-grizzlies-MDo9tdTo/
1374,Asian handicap -3.5 ,1.93,1.98,Over/Under +198 ,2.0,1.94,Miami Heat,Atlanta Hawks,"Wednesday, 15 Oct  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/miami-heat-atlanta-hawks-8AcRHCjo/
1375,Asian handicap -6.5 ,1.96,2.09,Over/Under +196 ,1.95,1.97,Cleveland Cavaliers,Milwaukee Bucks,"Wednesday, 15 Oct  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-milwaukee-bucks-lQGfNYSN/
1376,Asian handicap +3 ,1.95,1.96,Over/Under +198 ,1.91,2.01,Philadelphia 76ers,New York Knicks,"Wednesday, 15 Oct  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/philadelphia-76ers-new-york-knicks-61BaMhrU/
