,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
0,Asian handicap -7.5 ,1.92,2.02,,,,Real Madrid,Olympiakos,"Sunday, 17 May  2015, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/real-madrid-olympiakos-piraeus-neB8cInE/
1,Asian handicap +4.5 ,1.95,2.0,Over/Under +166.5 ,2.03,1.95,Fenerbahce,CSKA Moscow,"Sunday, 17 May  2015, 18:00",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/fenerbahce-cska-moscow-QoACdx2K/
2,Asian handicap -6.5 ,2.02,2.05,Over/Under +155.5 ,2.11,1.91,Real Madrid,Fenerbahce,"Friday, 15 May  2015, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/real-madrid-fenerbahce-xOn4zuf5/
3,Asian handicap -6.5 ,2.08,1.95,Over/Under +152.5 ,1.97,2.0,CSKA Moscow,Olympiakos,"Friday, 15 May  2015, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/cska-moscow-olympiakos-piraeus-bXm0yLva/
4,Asian handicap -2.5 ,1.95,2.11,Over/Under +144.5 ,1.98,2.0,Olympiakos,Barcelona,"Thursday, 23 Apr  2015, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/olympiakos-piraeus-barcelona-EcHERYs7/
5,Asian handicap +4.5 ,1.95,2.07,Over/Under +155.5 ,1.95,1.99,Anadolu Efes,Real Madrid,"Thursday, 23 Apr  2015, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/anadolu-efes-real-madrid-AwzlFn8j/
6,Asian handicap +7.5 ,2.08,1.97,Over/Under +154.5 ,2.17,1.91,Panathinaikos,CSKA Moscow,"Wednesday, 22 Apr  2015, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/panathinaikos-cska-moscow-tfUnuWXk/
7,Asian handicap +4.5 ,2.03,2.06,Over/Under +158.5 ,1.98,2.04,Anadolu Efes,Real Madrid,"Tuesday, 21 Apr  2015, 21:55",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/anadolu-efes-real-madrid-h0pVo3Bf/
8,Asian handicap -3.5 ,1.91,2.04,Over/Under +145.5 ,2.03,1.98,Olympiakos,Barcelona,"Tuesday, 21 Apr  2015, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/olympiakos-piraeus-barcelona-lSwvpst7/
9,Asian handicap +6.5 ,2.01,2.02,Over/Under +153.5 ,2.06,1.94,Panathinaikos,CSKA Moscow,"Monday, 20 Apr  2015, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/panathinaikos-cska-moscow-63lZpNQ0/
10,Asian handicap -2.5 ,2.01,1.97,Over/Under +154.5 ,1.97,1.97,Maccabi Tel Aviv,Fenerbahce,"Monday, 20 Apr  2015, 21:05",https://www.oddsportal.com/basketball/europe/euroleague-2014-2015/maccabi-tel-aviv-fenerbahce-SIxrq1eD/
