,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
230,5.5,1.92,2.1,16.0,2.0,1.96,Zalgiris Kaunas,CSKA Moscow,"Friday, 30 Mar  2018, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/zalgiris-kaunas-cska-moscow-6FbjEcA9/
231,2.5,2.0,1.98,15.0,2.0,1.94,Unicaja,Olympiakos,"Friday, 30 Mar  2018, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/unicaja-olympiakos-piraeus-dpHaiz3d/
232,0.5,1.95,2.14,16.0,2.02,1.94,Baskonia,Maccabi Tel Aviv,"Thursday, 29 Mar  2018, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/saski-baskonia-maccabi-tel-aviv-lvSPcxQS/
233,4.5,1.96,2.09,167.0,2.04,2.05,Bamberg,Olimpia Milano,"Thursday, 29 Mar  2018, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/brose-bamberg-milan-W2XKbIAM/
234,-1.0,1.91,2.11,167.0,2.13,1.94,Anadolu Efes,Barcelona,"Thursday, 29 Mar  2018, 20:45",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/anadolu-efes-barcelona-jmEigdYq/
235,4.5,1.95,2.01,15.0,1.96,2.03,Khimki M.,Fenerbahce,"Thursday, 29 Mar  2018, 18:45",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/khimki-m-fenerbahce-pADehGmj/
236,1.0,2.0,1.93,166.0,2.11,1.93,Barcelona,Baskonia,"Friday, 23 Mar  2018, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/barcelona-saski-baskonia-pnV81KQ3/
237,2.5,1.95,2.01,157.0,1.94,1.97,Olympiakos,Anadolu Efes,"Friday, 23 Mar  2018, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/olympiakos-piraeus-anadolu-efes-hCYGabeG/
238,-3.0,1.99,2.0,16.0,1.96,1.96,Bamberg,Unicaja,"Friday, 23 Mar  2018, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/brose-bamberg-unicaja-2Nu420Bc/
239,6.0,2.0,1.96,168.0,1.94,1.99,Khimki M.,CSKA Moscow,"Friday, 23 Mar  2018, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2017-2018/khimki-m-cska-moscow-bkZC0vtA/
